Stkcd,Accper_year,F050201B
70,2006,0.0015807500000000001
70,2007,0.0038485
70,2008,0.015185375000000001
70,2009,0.020626625000000003
70,2010,0.02123425
70,2011,0.01246125
70,2012,0.016087999999999998
70,2013,0.016539375000000002
70,2014,0.01403125
70,2015,0.0022005
70,2016,0.014497875
70,2017,0.021857
70,2018,0.019349125
70,2019,0.022444125000000002
70,2020,0.007755125
70,2021,-0.003522000000000001
70,2022,0.006467833333333333
688198,2016,0.2472025
688198,2017,0.280692
688198,2018,0.1540225
688198,2019,0.137912
688198,2020,0.04392725
688198,2021,0.031661857142857144
688198,2022,0.05067633333333333
688199,2016,0.030739
688199,2017,0.083736
688199,2018,0.093832
688199,2019,0.07860125
688199,2020,0.01946725
688199,2021,0.05194
688199,2022,0.008456
688200,2016,0.19437300000000002
688200,2017,0.25324599999999997
688200,2018,0.370794
688200,2019,0.11442283333333332
688200,2020,0.042725625
688200,2021,0.07249328571428572
688200,2022,0.10338316666666665
688201,2017,0.16073900000000002
688201,2018,0.2035075
688201,2019,0.180944
688201,2020,0.10643
688201,2021,0.047643000000000005
688201,2022,0.050754125
688202,2016,0.11794550000000001
688202,2017,0.10085949999999999
688202,2018,0.12045600000000001
688202,2019,0.06342016666666667
688202,2020,0.0424905
688202,2021,0.07969971428571429
688202,2022,0.08825999999999999
688203,2019,0.039719
688203,2020,0.039289500000000005
688203,2021,0.02769
688203,2022,0.01937785714285714
688205,2019,0.0975375
688205,2020,0.1707905
688205,2021,0.144307
688205,2022,0.048655000000000004
688206,2018,-0.1507135
688206,2019,-4.708883
688206,2020,0.0278935
688206,2021,0.012256000000000001
688206,2022,0.010257875
688207,2018,-0.2784955
688207,2019,-1.0310730000000001
688207,2020,-0.12327750000000001
688207,2021,-0.10153575
688207,2022,0.01571133333333333
688208,2016,-0.018709999999999997
688208,2017,-0.016083
688208,2018,0.26695100000000005
688208,2019,0.1892785
688208,2020,0.085533375
688208,2021,0.071886
688208,2022,0.029759833333333333
688209,2018,0.2445005
688209,2019,0.0614565
688209,2020,0.110617
688209,2021,0.1394795
688209,2022,0.07304228571428571
688210,2018,0.009771499999999999
688210,2019,0.062477000000000005
688210,2020,0.16418549999999998
688210,2021,0.04648083333333333
688210,2022,0.028997125
688211,2018,0.06908149999999999
688211,2019,0.1060815
688211,2020,0.090394
688211,2021,0.031288666666666666
688211,2022,-0.006139625
688212,2018,-0.0149125
688212,2019,0.0843245
688212,2020,0.024354
688212,2021,0.025176
688212,2022,0.004898625
688213,2018,-1.2822545
688213,2019,-0.541771
688213,2020,0.0487745
688213,2021,0.06401316666666666
688213,2022,-0.0036607142857142854
835670,2015,0.216042
835670,2016,0.127337
835670,2017,0.0868625
835670,2018,0.053246666666666664
835670,2019,0.09928000000000001
835670,2020,0.05597075
835670,2021,0.019078625000000002
835670,2022,-0.03431625
688215,2017,0.092769
688215,2018,0.164584
688215,2019,0.15403
688215,2020,0.0597465
688215,2021,0.01815357142857143
688215,2022,0.014503333333333333
688216,2018,0.012587500000000001
688216,2019,0.0328835
688216,2020,0.037151500000000004
688216,2021,0.03122157142857143
688216,2022,-0.006878666666666666
688217,2018,0.042901
688217,2019,0.030426
688217,2020,0.0249635
688217,2021,0.020739285714285714
688217,2022,0.019649666666666666
688218,2016,0.0682035
688218,2017,0.054947499999999996
688218,2018,0.061033500000000004
688218,2019,0.04099366666666667
688218,2020,0.010542375
688218,2021,0.008267142857142857
688218,2022,0.004422
688219,2017,0.019808
688219,2018,0.012854
688219,2019,0.023539
688219,2020,0.025378833333333333
688219,2021,0.0071330000000000005
688219,2022,0.005726666666666667
688220,2018,-0.548637
688220,2019,-0.3758975
688220,2020,-0.754424
688220,2021,-0.19023833333333331
688220,2022,-0.023077285714285713
688221,2017,-0.11325350000000001
688221,2018,-0.3391705
688221,2019,-0.22986600000000001
688221,2020,-0.14828266666666665
688221,2021,-0.05685242857142857
688221,2022,-0.08249983333333333
688222,2017,-0.1318415
688222,2018,0.0987615
688222,2019,0.200157
688222,2020,0.022631
688222,2021,0.020394142857142857
688222,2022,0.004673166666666667
688223,2018,0.0012554999999999997
688223,2019,0.017412
688223,2020,0.0180045
688223,2021,0.009474166666666667
688223,2022,0.012680000000000002
96,2000,0.044946
96,2001,0.0488765
96,2002,0.0465585
96,2003,0.06741133333333334
96,2004,0.070426125
96,2005,0.048120666666666666
96,2006,0.056694875
96,2007,0.086376125
96,2008,0.050063625
96,2009,0.043702
96,2010,0.04725025
96,2011,0.019632125
96,2012,0.012471125
96,2013,0.014595625
96,2014,0.027312
96,2015,0.047864625
96,2016,0.036739
96,2017,0.0341285
96,2018,0.02284875
96,2019,0.018054375
96,2020,0.019439375
96,2021,0.011818571428571428
96,2022,0.010713
688225,2018,-0.0307305
688225,2019,0.1154885
688225,2020,0.050133000000000004
688225,2021,0.08592666666666667
688225,2022,-0.00019500000000000073
688226,2018,0.055054000000000006
688226,2019,0.0528175
688226,2020,0.043447
688226,2021,0.025972
